entry_id,name,year,letterboxd_uri,rating,rewatch,watched_date,movie_id,language,poster,popularity,vote_average,release_date,revenue,runtime,tagline,genre_1,genre_2,genre_3,genre_4,genre_5,country_1,country_2,country_3,country_4,director_1,director_2,director_3
162,TÁR,2022,https://boxd.it/4PgaSl,4,,2023-02-07,817758,en,https://image.tmdb.org/t/p/original'/dRVAlaU0vbG6hMf2K45NSiIyoUe.jpg,26.752,7.106,2022-09-23,29000000,158,,Drama,Music,,,,US,,,,Todd Field,,
163,Ocean's Eight,2018,https://boxd.it/4PgaSb,2,,2023-02-07,402900,en,https://image.tmdb.org/t/p/original'/MvYpKlpFukTivnlBhizGbkAe3v.jpg,234.251,6.984,2018-06-07,297718711,111,Every con has its pros,Crime,Comedy,Action,,,US,,,,Gary Ross,,
164,The Meyerowitz Stories,2017,https://boxd.it/4PgaSv,3.5,,2023-02-08,396398,en,https://image.tmdb.org/t/p/original'/c9teDTgwxgnb7wnZjZo4oNcF80R.jpg,23.538,6.45,2017-10-13,0,112,,Comedy,Drama,,,,US,,,,Noah Baumbach,,
165,October Sky,1999,https://boxd.it/4PgaSF,4.5,,2023-02-09,13466,en,https://image.tmdb.org/t/p/original'/pBejcCxQ3WQW0cWmgjpFOoLWMuS.jpg,20.601,7.649,1999-02-19,34698685,108,Sometimes one dream is enough to light up the whole sky.,Drama,Family,,,,US,,,,Joe Johnston,,
166,"tick, tick... BOOM!",2021,https://boxd.it/4PgaSP,5,,2023-02-09,537116,en,https://image.tmdb.org/t/p/original'/DPmfcuR8fh8ROYXgdjrAjSGA0o.jpg,28.208,7.666,2021-11-11,0,115,How much time do we have to do something great?,Drama,Music,,,,US,,,,Lin-Manuel Miranda,,
167,Your Name Engraved Herein,2020,https://boxd.it/4PgaSZ,3.5,,2023-02-10,719410,zh,https://image.tmdb.org/t/p/original'/m3y8B4beaYjGltS7G2zltURfaUD.jpg,26.217,7.9,2020-09-30,0,114,Who is the one linger in your heart after all these years?,Romance,Drama,,,,TW,US,,,Kuang-Hui Liu,,
168,National Treasure,2004,https://boxd.it/4PgaT9,2,Yes,2023-02-13,2059,en,https://image.tmdb.org/t/p/original'/pxL6E4GBOPUG6CdkO9cUQN5VMwI.jpg,40.569,6.633,2004-11-19,347500000,131,"In order to break the code, one man will have to break all the rules.",Adventure,Action,Thriller,Mystery,,US,,,,Jon Turteltaub,,
169,Burning,2018,https://boxd.it/4PgaTj,4,,2023-02-14,813106,en,https://image.tmdb.org/t/p/original'/hxGv1O2W5SOJTmiBc45CL842mrx.jpg,0.781,6,2018-11-20,0,18,,,,,,,US,,,,VS Sanoj,,
170,Black Widow,2021,https://boxd.it/4PgaTt,3.5,,2023-02-19,497698,en,https://image.tmdb.org/t/p/original'/kwB7d51AIcyzPOBOHLCEZJkmPhQ.jpg,278.285,7.256,2021-07-07,379751131,134,Her world. Her secrets. Her legacy.,Action,Adventure,Science Fiction,,,US,,,,Cate Shortland,,
171,The Proposal,2009,https://boxd.it/4PgaTD,3.5,Yes,2023-02-19,18240,en,https://image.tmdb.org/t/p/original'/aEqtJDj8MvSDQwzggvcOfFTZMw.jpg,53.556,7.141,2009-06-01,317400000,108,Here comes the bribe...,Comedy,Romance,Drama,,,US,,,,Anne Fletcher,,
172,My Cousin Vinny,1992,https://boxd.it/4PgaTN,4,,2023-02-21,10377,en,https://image.tmdb.org/t/p/original'/z5RexWgSjQxa008MkAmi6LLZbjq.jpg,29.583,7.501,1992-03-13,64088552,120,There have been many courtroom dramas that have glorified the Great American Legal System. This is not one of them.,Comedy,,,,,US,,,,Jonathan Lynn,,
173,Ant-Man and the Wasp: Quantumania,2023,https://boxd.it/4PgaTX,3,,2023-02-22,640146,en,https://image.tmdb.org/t/p/original'/qnqGbB22YJ7dSs4o6M7exTpNxPz.jpg,91.331,6.35,2023-02-15,476071180,125,Witness the beginning of a new dynasty.,Action,Adventure,Science Fiction,,,US,,,,Peyton Reed,,
174,Nope,2022,https://boxd.it/4PgaUh,4.5,,2023-02-24,762504,en,https://image.tmdb.org/t/p/original'/AcKVlWaNVVVFQwro3nLXqPljcYA.jpg,44.133,6.854,2022-07-20,170823080,130,What’s a bad miracle?,Horror,Science Fiction,Mystery,,,US,,,,Jordan Peele,,
175,Soul,2020,https://boxd.it/4PgaUr,5,Yes,2023-02-25,508442,en,https://image.tmdb.org/t/p/original'/hm58Jw4Lw8OIeECIq5qyPYhAeRJ.jpg,83.033,8.132,2020-12-25,121500000,101,Everybody has a soul. Joe Gardner is about to find his.,Animation,Family,Comedy,Fantasy,,US,,,,Pete Docter,,
176,Punch-Drunk Love,2002,https://boxd.it/4PgaUB,3,,2023-02-28,8051,en,https://image.tmdb.org/t/p/original'/vT2CXIsVKoGl0DZ8USwLWzEFznI.jpg,34.093,7.142,2002-10-11,24665649,96,I have a love in my life. It makes me stronger than anything you can imagine.,Romance,Drama,Comedy,,,US,,,,Paul Thomas Anderson,,
177,Grease,1978,https://boxd.it/4PgaUL,2.5,,2023-03-01,621,en,https://image.tmdb.org/t/p/original'/czVhhAaSBFpakur7U8pOIDV9NUG.jpg,297.896,7.4,1978-07-07,396271103,110,Grease is the word.,Romance,Comedy,,,,US,,,,Randal Kleiser,,
178,RED,2010,https://boxd.it/4PgaUV,1.5,Yes,2023-03-02,39514,en,https://image.tmdb.org/t/p/original'/8eeK3OB5PeSRQD7BpZcGZKkehG.jpg,35.068,6.698,2010-10-13,199000000,111,Still armed. Still dangerous. Still got it.,Action,Adventure,Comedy,Crime,Thriller,US,,,,Robert Schwentke,,
179,Cars 2,2011,https://boxd.it/4PgaV5,2.5,Yes,2023-03-05,49013,en,https://image.tmdb.org/t/p/original'/okIz1HyxeVOMzYwwHUjH2pHi74I.jpg,97.202,6.116,2011-06-11,559852396,106,Take a trip. See the sights. Save the world.,Animation,Family,Adventure,Comedy,,US,,,,John Lasseter,,
180,Kingsman: The Secret Service,2014,https://boxd.it/4PgaVf,4.5,Yes,2023-03-13,207703,en,https://image.tmdb.org/t/p/original'/r6q9wZK5a2K51KFj4LWVID6Ja1r.jpg,97.801,7.634,2014-12-13,414351546,129,Manners maketh man.,Crime,Comedy,Action,Adventure,,GB,,,,Matthew Vaughn,,
181,Kingsman: The Golden Circle,2017,https://boxd.it/4PgaVp,3.5,Yes,2023-03-14,343668,en,https://image.tmdb.org/t/p/original'/34xBL6BXNYFqtHO9zhcgoakS4aP.jpg,84.012,6.968,2017-09-20,410900000,141,A proper spy movie.,Action,Adventure,Comedy,,,GB,US,,,Matthew Vaughn,,
182,The Emperor's New Groove,2000,https://boxd.it/4PgaVJ,3,,2023-03-17,11688,en,https://image.tmdb.org/t/p/original'/wwbgkXQBEKtnyIJapk6gUgWkVw8.jpg,104.382,7.6,2000-12-15,169327687,78,It's all about... ME!,Adventure,Animation,Comedy,Family,Fantasy,US,,,,Mark Dindal,,
183,Onward,2020,https://boxd.it/4PgaW3,4.5,,2023-03-20,508439,en,https://image.tmdb.org/t/p/original'/f4aul3FyD3jv3v4bul1IrkWZvzq.jpg,48.361,7.696,2020-02-29,141940042,103,Their quest begineth.,Family,Animation,Adventure,Comedy,Fantasy,US,,,,Dan Scanlon,,
184,Nomadland,2020,https://boxd.it/4PgaWd,4,,2023-03-22,581734,en,https://image.tmdb.org/t/p/original/k5XzjWihzum1YgLMlqRDRZDmVMn.jpg,32.626,7.213,2021-01-29,14784114,108,,Drama,,,,,US,,,,Chloé Zhao,,
185,The Avengers,2012,https://boxd.it/4PgaWn,3.5,Yes,2023-03-24,24428,en,https://image.tmdb.org/t/p/original'/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,168.632,7.714,2012-04-25,1518815515,143,Some assembly required.,Science Fiction,Action,Adventure,,,US,,,,Joss Whedon,,
186,Die Beautiful,2016,https://boxd.it/4PgaXZ,3.5,,2023-03-26,418378,tl,https://image.tmdb.org/t/p/original'/fKsONTEt8vI4XOntWLm0gyrZ9h4.jpg,3.065,6.6,2016-12-25,4160000,120,A Glamorous Life Deserves a Fabulous Death.,Comedy,Drama,,,,PH,,,,Jun Robles Lana,,
187,Being John Malkovich,1999,https://boxd.it/4PgaY9,4,,2023-03-26,492,en,https://image.tmdb.org/t/p/original'/vKVUsumbCzK5Kn3aDpKM4EizKCA.jpg,28.584,7.412,1999-10-29,22863596,113,Ever wanted to be someone else? Now you can.,Comedy,Drama,Fantasy,,,US,,,,Spike Jonze,,
188,John Wick,2014,https://boxd.it/4PgaYj,3,Yes,2023-03-29,245891,en,https://image.tmdb.org/t/p/original'/fZPSd91yGE9fCcCe6OoQr6E3Bev.jpg,101.591,7.43,2014-10-22,88761661,101,Don't set him off.,Action,Thriller,,,,US,,,,Chad Stahelski,,
189,John Wick: Chapter 2,2017,https://boxd.it/4PgaYt,3.5,Yes,2023-03-31,324552,en,https://image.tmdb.org/t/p/original'/hXWBc0ioZP3cN4zCu6SN3YHXZVO.jpg,88.303,7.326,2017-02-08,171539887,122,Never stab the devil in the back.,Action,Thriller,Crime,,,US,,,,Chad Stahelski,,
190,The Gentlemen,2019,https://boxd.it/4PgaYD,3.5,,2023-04-01,522627,en,https://image.tmdb.org/t/p/original/jtrhTYB7xSrJxR1vusu99nvnZ1g.jpg,60.004,7.682,2020-01-01,115171795,113,Criminal. Class.,Action,Crime,Comedy,,,GB,,,,Guy Ritchie,,
191,John Wick: Chapter 3 - Parabellum,2019,https://boxd.it/4PgaYN,4,,2023-04-01,458156,en,https://image.tmdb.org/t/p/original'/ziEuG1essDuWuC5lpWUaw1uXY2O.jpg,84.665,7.441,2019-05-15,326709727,131,"If you want peace, prepare for war.",Action,Thriller,Crime,,,US,,,,Chad Stahelski,,
192,The Panti Sisters,2019,https://boxd.it/4PgaZ7,2,,2023-04-02,622327,tl,https://image.tmdb.org/t/p/original'/5G8nxJhvT9cUyrxLIvKleKqrA0g.jpg,5.52,5.1,2019-09-13,8727994,108,,Comedy,Drama,Romance,,,PH,,,,Jun Robles Lana,,
193,Heneral Luna,2015,https://boxd.it/4PgaZB,4.5,Yes,2023-04-03,359105,tl,https://image.tmdb.org/t/p/original'/vCwbsgkdzpgTADyaa3g4jaWVAaR.jpg,8.669,7.6,2015-09-09,0,118,Nation or self?,Comedy,Action,Drama,History,War,PH,,,,Jerrold Tarog,,
194,The Unbearable Weight of Massive Talent,2022,https://boxd.it/4PgaZr,4.5,,2023-04-03,648579,en,https://image.tmdb.org/t/p/original'/aqhLeieyTpTUKPOfZ3jzo2La0Mq.jpg,33.798,6.772,2022-04-20,29116320,107,Nicolas Cage is Nick Cage.,Action,Comedy,Crime,,,US,,,,Tom Gormican,,
195,Goyo: The Boy General,2018,https://boxd.it/4PgaZL,3.5,,2023-04-05,522449,tl,https://image.tmdb.org/t/p/original'/fZuIWrzsqoeVlyWBJIek8crGSFz.jpg,10.51,6.9,2018-09-05,0,155,Remember who you are,History,,,,,PH,,,,Jerrold Tarog,,
196,The Fabulous Filipino Brothers,2021,https://boxd.it/4Pgb05,1.5,,2023-04-08,644102,en,https://image.tmdb.org/t/p/original'/a2KwBZqjyhBmWFmifZWJS8UO2M1.jpg,2.354,6.5,2021-03-16,0,99,Love. Culture. Family.,Comedy,Romance,,,,US,PH,,,Dante Basco,,
197,Markova: Comfort Gay,2000,https://boxd.it/4Pgb0f,4.5,,2023-04-08,217428,tl,https://image.tmdb.org/t/p/original'/tQCfke11UF27R5klVHQlAicBqvh.jpg,4.11,6.3,2000-12-25,0,97,A Powerful Story About A Remarkable Man...,Comedy,Drama,War,,,PH,,,,Gil Portes,,
198,Pinoy Sunday,2009,https://boxd.it/4Pgb0z,4,,2023-04-08,48401,zh,https://image.tmdb.org/t/p/original'/v7Zrr7mLLASUpMWy47t8ppjB8Ca.jpg,1.107,4.5,2009-10-24,0,85,"One couch, two men a modest dream.",Comedy,Drama,,,,PH,TW,,,Wi Ding Ho,,
199,My 2 Mommies,2018,https://boxd.it/4Pgb0J,1,,2023-04-10,524132,tl,https://image.tmdb.org/t/p/original'/dfzclLGJJFJF9pNL47YvOekY2on.jpg,0.75,5.5,2018-05-09,0,102,,Comedy,,,,,PH,,,,Eric Quizon,,
200,Avatar: The Way of Water,2022,https://boxd.it/4Pgb0T,4,,2023-04-11,76600,en,https://image.tmdb.org/t/p/original'/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,253.176,7.625,2022-12-14,2320250281,192,I guess I blue myself…again,Science Fiction,Adventure,Action,,,US,,,,James Cameron,,
201,You Don't Mess with the Zohan,2008,https://boxd.it/4Pgb13,3,,2023-04-13,10661,en,https://image.tmdb.org/t/p/original'/gBhLQmpCPoKFMCGsulMbIFzrBID.jpg,51.465,5.706,2008-06-05,204313400,113,Lather. Rinse. Save the world.,Comedy,Action,,,,US,,,,Dennis Dugan,,
202,Stowaway,2021,https://boxd.it/4Pgb1d,3.5,,2023-04-17,559581,en,https://image.tmdb.org/t/p/original'/yOscLK7KzEPDdi1P8RmevGIjOSp.jpg,21.102,5.98,2021-06-24,0,117,"Millions of miles from home, survival comes with sacrifice.",Science Fiction,Drama,Thriller,Adventure,,GB,DE,US,,Joe Penna,,
203,Colossal,2016,https://boxd.it/4Pgb1n,1.5,,2023-04-20,339967,en,https://image.tmdb.org/t/p/original/4VOyofBd1pexblxtDZYtYIk7NI4.jpg,23.903,6.294,2017-04-06,3029287,109,There's a monster in all of us,Drama,Fantasy,Science Fiction,,,US,,,,Nacho Vigalondo,,
204,Dawn of the Planet of the Apes,2014,https://boxd.it/4Pgb1H,4,,2023-04-24,119450,en,https://image.tmdb.org/t/p/original'/kScdQEwS9jPEdnO23XjGAtaoRcT.jpg,364.89,7.323,2014-07-08,710644566,130,One last chance for peace.,Science Fiction,Action,Drama,Thriller,,US,,,,Matt Reeves,,
205,Rise of the Planet of the Apes,2011,https://boxd.it/4Pgb1R,4,,2023-04-24,61791,en,https://image.tmdb.org/t/p/original'/cjLsuP75UDlRdJVMXzXg3TJ4umX.jpg,259.367,7.318,2011-08-03,481800873,105,Evolution Becomes Revolution.,Thriller,Action,Drama,Science Fiction,,US,,,,Rupert Wyatt,,
206,War for the Planet of the Apes,2017,https://boxd.it/4Pgb1x,3.5,,2023-04-24,281338,en,https://image.tmdb.org/t/p/original'/mMA1qhBFgZX8O36qPPTC016kQl1.jpg,310.494,7.194,2017-07-11,490719763,140,For freedom. For family. For the planet.,Drama,Science Fiction,War,,,US,,,,Matt Reeves,,
207,Inception,2010,https://boxd.it/4Pgb21,4,Yes,2023-04-25,27205,en,https://image.tmdb.org/t/p/original'/oYuLEt3zVCKq57qu2F8dT7NIa6f.jpg,379.523,8.368,2010-07-15,825532764,148,Your mind is the scene of the crime.,Action,Science Fiction,Adventure,,,US,GB,,,Christopher Nolan,,
208,The Nice Guys,2016,https://boxd.it/4Pgb2b,4,,2023-04-25,290250,en,https://image.tmdb.org/t/p/original'/uXdQztKoAtx7UU3RvqeF52KsoQP.jpg,113.701,7.115,2016-05-15,62800000,116,They're not that nice.,Comedy,Crime,Action,,,US,,,,Shane Black,,
209,My Super Ex-Girlfriend,2006,https://boxd.it/4Pgb2l,1.5,Yes,2023-04-25,4474,en,https://image.tmdb.org/t/p/original'/vs4jcY5NQA24zFGihY2EiqEA5hI.jpg,26.202,5.101,2006-07-20,61108981,95,Hell hath no fury like a superwoman scorned.,Comedy,Science Fiction,Romance,,,US,,,,Ivan Reitman,,
210,Hunger,2023,https://boxd.it/4Pgb2v,3.5,,2023-04-26,1090501,en,https://image.tmdb.org/t/p/original'None,0.045,0,2023-01-01,0,2,,,,,,,US,,,,Chris Noon,,
211,Django Unchained,2012,https://boxd.it/4Pgb3X,4,Yes,2023-04-27,68718,en,https://image.tmdb.org/t/p/original'/7oWY8VDWW7thTzWh3OKYRkWUlD5.jpg,201.727,8.179,2012-12-25,425368238,165,"Life, liberty, and the pursuit of vengeance.",Drama,Western,,,,US,,,,Quentin Tarantino,,
212,Train to Busan,2016,https://boxd.it/4Pgb47,3,Yes,2023-04-30,396535,ko,https://image.tmdb.org/t/p/original'/vNVFt6dtcqnI7hqa6LFBUibuFiw.jpg,87.514,7.753,2016-07-20,87547518,118,Life-or-death survival begins.,Horror,Thriller,Action,Adventure,,KR,,,,Yeon Sang-ho,,
213,"I, Robot",2004,https://boxd.it/4Pgb4r,3,,2023-05-08,2048,en,https://image.tmdb.org/t/p/original'/efwv6F2lGaghjPpBRSINHtoEiZB.jpg,49.599,6.946,2004-07-15,347234916,115,One man saw it coming,Action,Science Fiction,,,,US,,,,Alex Proyas,,
214,Transformers,2007,https://boxd.it/4Pgb4B,2,Yes,2023-05-13,1858,en,https://image.tmdb.org/t/p/original'/1P7w3AImoEOWJX7nn3fdaKDfEQA.jpg,19.972,6.797,2007-06-27,709700000,144,Their war. Our world.,Adventure,Science Fiction,Action,,,US,,,,Michael Bay,,
215,The Intern,2015,https://boxd.it/4Pgb4V,3.5,,2023-05-18,257211,en,https://image.tmdb.org/t/p/original'/9UoAC9tu8kIyRy8AcJnGhnH0gOH.jpg,49.933,7.208,2015-09-23,194564672,121,Experience never gets old.,Comedy,,,,,US,,,,Nancy Meyers,,
216,Turning Red,2022,https://boxd.it/4Pgb4L,2.5,,2023-05-18,508947,en,https://image.tmdb.org/t/p/original'/qsdjk9oAKSQMWs0Vt5Pyfh6O4GZ.jpg,430.055,7.389,2022-03-10,21328962,100,Growing up is a beast.,Animation,Family,Comedy,Fantasy,,US,,,,Domee Shi,,
217,Borat Subsequent Moviefilm,2020,https://boxd.it/4Pgb55,4.5,,2023-05-21,740985,en,https://image.tmdb.org/t/p/original'/3L1Ml5RWjFVfVq3rQENvgFymT0U.jpg,59.854,6.462,2020-10-23,0,96,Delivery of prodigious bribe to American regime for make benefit once glorious nation of Kazakhstan.,Comedy,,,,,GB,US,,,Jason Woliner,,
218,Bullet Train,2022,https://boxd.it/4Pgb5f,5,,2023-05-23,718930,en,https://image.tmdb.org/t/p/original'/j8szC8OgrejDQjjMKSVXyaAjw3V.jpg,95.452,7.473,2022-08-03,239300000,126,The end of the line is just the beginning.,Action,Comedy,Thriller,,,US,,,,David Leitch,,
219,John Wick: Chapter 4,2023,https://boxd.it/4Pgb5p,3,,2023-05-29,603692,en,https://image.tmdb.org/t/p/original'/vZloFAK7NmvMGKE7VkF5UHaz0I.jpg,206.185,7.741,2023-03-22,440157245,170,"No way back, one way out.",Action,Thriller,Crime,,,US,,,,Chad Stahelski,,
220,Renfield,2023,https://boxd.it/4Pgb5z,3.5,,2023-06-01,649609,en,https://image.tmdb.org/t/p/original'/jG83l0tDwoQj3hBAioIsJ5rTPHw.jpg,40.402,6.564,2023-04-07,26400000,93,Sucks to be him.,Comedy,Horror,,,,US,,,,Chris McKay,,
221,The Little Mermaid,2023,https://boxd.it/4Pgb5J,3.5,,2023-06-05,447277,en,https://image.tmdb.org/t/p/original'/ym1dxyOk4jFcSl4Q2zmRrA5BEEN.jpg,122.962,6.38,2023-05-18,569600000,135,"Watch and you'll see, some day I'll be, part of your world!",Adventure,Family,Fantasy,Romance,,US,,,,Rob Marshall,,
222,Enola Holmes 2,2022,https://boxd.it/4Pgb5T,2.5,,2023-06-06,829280,en,https://image.tmdb.org/t/p/original'/tegBpjM5ODoYoM1NjaiHVLEA0QM.jpg,33.131,7.404,2022-11-30,0,129,Go Big. Go Holmes.,Adventure,Mystery,Crime,,,US,GB,,,Harry Bradbeer,,
223,Enola Holmes,2020,https://boxd.it/4Pgb63,3,,2023-06-06,497582,en,https://image.tmdb.org/t/p/original'/riYInlsq2kf1AWoGm80JQW5dLKp.jpg,32.116,7.286,2020-09-23,0,123,Mystery runs in the family.,Adventure,Mystery,Crime,,,US,,,,Harry Bradbeer,,
224,Rocky,1976,https://boxd.it/4Pgb6d,2.5,,2023-06-12,1366,en,https://image.tmdb.org/t/p/original'/cqxg1CihGR5ge0i1wYXr4Rdeppu.jpg,379.675,7.787,1976-11-20,225300000,120,His whole life was a million-to-one shot.,Drama,,,,,US,,,,John G. Avildsen,,
225,Before Sunrise,1995,https://boxd.it/4Pgb6H,5,,2023-06-21,76,en,https://image.tmdb.org/t/p/original'/kf1Jb1c2JAOqjuzA3H4oDM263uB.jpg,37.456,7.97,1995-01-27,5987386,101,Can the greatest romance of your life last only one night?,Drama,Romance,,,,US,,,,Richard Linklater,,
226,Before Midnight,2013,https://boxd.it/4Pgb6n,4,,2023-06-21,132344,en,https://image.tmdb.org/t/p/original'/qbGKJmNUroDz75kh5Oafoall89e.jpg,24.655,7.512,2013-04-05,11176469,109,Everything's better with maturity.,Romance,Drama,,,,US,,,,Richard Linklater,,
227,Before Sunset,2004,https://boxd.it/4Pgb6x,4.5,,2023-06-21,80,en,https://image.tmdb.org/t/p/original'/gycdE1ARByGQcK4fYR2mgpU6OO.jpg,25.623,7.819,2004-06-16,15992615,80,What if you had a second chance with the one that got away?,Drama,Romance,,,,US,,,,Richard Linklater,,
228,Desert Flower,2009,https://boxd.it/4Pgb6R,3.5,,2023-06-25,33997,en,https://image.tmdb.org/t/p/original'/xjeWO3QLyFZGnM7phfkOMINZ8Is.jpg,18.557,7.579,2009-09-24,14682943,120,The extraordinary true story of the woman who crossed the desert and changed the world.,Drama,,,,,AT,US,GB,,Sherry Hormann,,
229,The Lobster,2015,https://boxd.it/4Pgb71,3.5,,2023-07-01,254320,en,https://image.tmdb.org/t/p/original'/7Y9ILV1unpW9mLpGcqyGQU72LUy.jpg,121.678,7.047,2015-10-15,15700000,119,An unconventional love story...,Comedy,Drama,Romance,,,FR,IE,GB,,Yorgos Lanthimos,,
230,10 Cloverfield Lane,2016,https://boxd.it/4Pgb7b,4,Yes,2023-07-02,333371,en,https://image.tmdb.org/t/p/original'/84Dhwz93vCin6T1PX6ctSvWEuNE.jpg,109.248,6.989,2016-03-10,110216998,104,Monsters come in many forms.,Thriller,Science Fiction,Drama,Horror,,US,,,,Dan Trachtenberg,,
231,Snowden,2016,https://boxd.it/4Pgb7l,4,,2023-07-03,302401,en,https://image.tmdb.org/t/p/original'/yfK7zxNL63VWfluFuoUaJj5PdNw.jpg,22.388,7.103,2016-09-15,37357216,134,The only safe place is on the run.,Drama,History,Crime,Thriller,,US,,,,Oliver Stone,,
232,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/4Pgb7v,4,,2023-07-04,569094,en,https://image.tmdb.org/t/p/original'/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,206.57,8.363,2023-05-31,690615475,140,It's how you wear the mask that matters.,Animation,Action,Adventure,Science Fiction,,US,,,,Joaquim Dos Santos,Kemp Powers,Justin K. Thompson
233,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/4Pgb7F,4.5,,2023-07-25,447365,en,https://image.tmdb.org/t/p/original'/r2J02Z2OpNTctfOSN1Ydgii51I3.jpg,144.132,7.973,2023-05-03,845600000,150,Once more with feeling.,Science Fiction,Adventure,Action,,,US,,,,James Gunn,,
234,Awakenings,1990,https://boxd.it/4Pgb7P,4,,2023-07-26,11005,en,https://image.tmdb.org/t/p/original'/9gztZXuHLG6AJ0fgqGd7Q43cWRI.jpg,55.529,7.764,1990-12-04,52096475,120,There is no such thing as a simple miracle.,Drama,,,,,US,,,,Penny Marshall,,
235,Confessions of a Shopaholic,2009,https://boxd.it/4Pgb89,2,,2023-07-30,20048,en,https://image.tmdb.org/t/p/original'/6DH1iP06fcpjD7tppsTwcAyZfDR.jpg,26.314,6.464,2009-02-05,108300000,104,All she ever wanted was a little credit...,Comedy,Romance,,,,US,,,,P.J. Hogan,,
236,Deadpool 2,2018,https://boxd.it/4Pgb97,3.5,Yes,2023-08-02,383498,en,https://image.tmdb.org/t/p/original'/to0spRl1CMDvyUbOnbb4fTk3VAd.jpg,319.123,7.5,2018-05-10,785896632,120,Prepare for the Second Coming.,Action,Comedy,Adventure,,,US,,,,David Leitch,,
237,Deadpool,2016,https://boxd.it/4Pgb9h,3.5,Yes,2023-08-02,293660,en,https://image.tmdb.org/t/p/original'/fSRb7vyIP8rQpL0I47P3qUsEKX3.jpg,427.085,7.613,2016-02-09,782837347,108,Feel the love.,Action,Adventure,Comedy,,,US,,,,Tim Miller,,
238,Uncut Gems,2019,https://boxd.it/4Pgb9r,3.5,,2023-08-05,473033,en,https://image.tmdb.org/t/p/original'/6XN1vxHc7kUSqNWtaQKN45J5x2v.jpg,239.839,7.2,2019-08-30,50023780,136,This is how I win.,Drama,Thriller,Crime,,,US,,,,Benny Safdie,Josh Safdie,
239,The Help,2011,https://boxd.it/4Pgb9B,3,,2023-08-20,50014,en,https://image.tmdb.org/t/p/original'/7XLSwxpfpPoJyTdJVot6a42TS2V.jpg,134.174,8.209,2011-08-09,216600000,146,Change begins with a whisper.,Drama,,,,,US,,,,Tate Taylor,,
240,Billionaire Boys Club,2018,https://boxd.it/4PiZHd,1,,2023-09-10,385360,en,https://image.tmdb.org/t/p/original'/7EpC1etIcUQxqPnBz0CpHLp3evv.jpg,16.811,5.688,2018-07-19,0,108,Young. Handsome. And cunning.,Drama,Thriller,,,,US,,,,James Cox,,
241,Spirited Away,2001,https://boxd.it/4QeiZT,5,,2023-09-13,129,ja,https://image.tmdb.org/t/p/original'/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,114.889,8.536,2001-07-20,274925095,125,,Animation,Family,Fantasy,,,JP,,,,Hayao Miyazaki,,
242,Before Sunrise,1995,https://boxd.it/4QtqL1,5,Yes,2023-09-14,76,en,https://image.tmdb.org/t/p/original'/kf1Jb1c2JAOqjuzA3H4oDM263uB.jpg,37.456,7.97,1995-01-27,5987386,101,Can the greatest romance of your life last only one night?,Drama,Romance,,,,US,,,,Richard Linklater,,
243,Barbie,2023,https://boxd.it/4QvGAx,4,,2023-09-14,346698,en,https://image.tmdb.org/t/p/original'/iuFNMS8U5cb6xfzi51Dbkovj7vM.jpg,480.566,7.1,2023-07-19,1445638421,114,She's everything. He's just Ken.,Comedy,Adventure,,,,US,,,,Greta Gerwig,,
